Date,CRM,TRV,CAT,AAPL,HD,AMGN,JPM,INTC,UNH,DIS,VZ,MCD,HON,WBA,PG,GS,MMM,CVX,BA,V,JNJ,AXP,DOW,IBM,MRK,MSFT,NKE,KO,WMT,CSCO
2012-12-31,42.025001525878906,59.50184631347656,69.5957260131836,16.54120445251465,51.751956939697266,70.76940155029297,35.02863693237305,16.31127166748047,47.55888748168945,45.263736724853516,30.281354904174805,69.53396606445312,51.19078826904297,30.269716262817383,53.19919204711914,112.56110382080078,74.68281555175781,77.97118377685547,62.66680908203125,35.75355911254883,56.178977966308594,51.027992248535156,,140.46090698242188,31.8858699798584,22.417037963867188,22.473745346069336,28.105117797851562,56.09300994873047,15.384358406066895
2013-01-02,42.79249954223633,60.36349105834961,72.61689758300781,17.06525230407715,53.11583709716797,73.19129943847656,35.82274627685547,16.91246223449707,47.821937561035156,46.45464324951172,30.98118019104004,71.03959655761719,52.2231559753418,31.128482818603516,54.37458801269531,116.17904663085938,76.23519134521484,79.59347534179688,64.08879089355469,36.64987564086914,56.77202606201172,52.337547302246094,,143.9806671142578,32.19740676879883,23.1807804107666,22.57827377319336,29.15179443359375,56.923343658447266,15.924571990966797
2013-01-03,42.1775016784668,60.82742691040039,73.31588745117188,16.849853515625,52.96522903442383,72.7315444946289,35.750553131103516,16.865005493164062,45.586036682128906,46.55464172363281,30.8342227935791,71.44163513183594,52.4247932434082,30.907665252685547,54.029808044433594,115.54371643066406,76.14673614501953,79.254638671875,64.42142486572266,36.678157806396484,56.691890716552734,52.56025695800781,,143.18873596191406,32.96846008300781,22.870243072509766,22.809112548828125,29.15179443359375,56.56163024902344,16.010692596435547
2013-01-04,42.40250015258789,61.357662200927734,73.71975708007812,16.380502700805664,52.86481475830078,73.05175018310547,36.38422393798828,16.73843002319336,45.67372131347656,47.445556640625,31.00217056274414,70.82677459716797,53.49748611450195,30.40874481201172,54.13951873779297,118.69391632080078,76.70974731445312,79.67281341552734,64.6043701171875,36.97774124145508,57.34103775024414,53.10368728637695,,142.25010681152344,32.68807601928711,22.442218780517578,23.031234741210938,29.198318481445312,56.775360107421875,16.0341796875
2013-01-07,42.244998931884766,60.529178619384766,73.94499206542969,16.28414535522461,52.5803108215332,72.68228149414062,36.42432403564453,16.809633255004883,45.67372131347656,46.33646774291992,31.27510643005371,71.66231536865234,53.52167892456055,31.103940963745117,53.77122497558594,118.47328186035156,76.80628967285156,79.13204956054688,63.30712890625,37.24189376831055,57.22084045410156,53.32639694213867,,141.62684631347656,32.80491256713867,22.40025520324707,23.06607437133789,28.919208526611328,56.232765197753906,15.885424613952637
2013-01-08,42.49250030517578,60.636898040771484,73.00523376464844,16.327978134155273,52.89827346801758,72.37030792236328,36.49652862548828,16.68306541442871,45.0687141418457,46.14554977416992,30.51401710510254,71.68598175048828,53.02162551879883,31.218442916870117,53.68503952026367,117.40560150146484,76.81431579589844,78.77872467041016,61.64399337768555,37.5886344909668,57.22883605957031,53.629276275634766,,141.42889404296875,32.851627349853516,22.282752990722656,22.822179794311523,28.717618942260742,56.388973236083984,15.901084899902344
2013-01-09,42.95750045776367,61.25825119018555,73.34696960449219,16.072786331176758,52.8564453125,72.7972412109375,36.472469329833984,16.96784019470215,45.919227600097656,46.163726806640625,30.443220138549805,71.58350372314453,53.66685104370117,31.44745445251465,53.974979400634766,118.52626037597656,77.54627990722656,78.98062133789062,63.83099365234375,38.161800384521484,57.485294342041016,53.68272018432617,,141.02554321289062,33.170963287353516,22.408647537231445,22.84395408630371,28.709861755371094,56.37252426147461,15.893255233764648
2013-01-10,43.279998779296875,61.6807746887207,73.84403228759766,16.272029876708984,53.232975006103516,72.09117889404297,37.01790237426758,17.244699478149414,46.56806564331055,46.172821044921875,30.860931396484375,72.04857635498047,53.5700798034668,31.54560661315918,54.280574798583984,121.21761322021484,77.93234252929688,79.65117645263672,64.10543823242188,37.85988235473633,57.853946685791016,54.15488815307617,,141.4362030029297,33.318939208984375,22.20722198486328,22.887508392333984,28.655603408813477,56.19987869262695,16.002864837646484
2013-01-11,43.337501525878906,62.012176513671875,73.92945098876953,16.172252655029297,53.2999153137207,71.39335632324219,37.00988006591797,17.402908325195312,46.31379699707031,45.98191833496094,30.655622482299805,72.3087158203125,53.481361389160156,31.979080200195312,54.24138259887695,121.00586700439453,77.44171142578125,80.55968475341797,62.500518798828125,38.013206481933594,57.98215866088867,54.555763244628906,,142.58741760253906,33.66941833496094,22.51775360107422,23.127056121826172,28.616832733154297,56.42184066772461,16.0341796875
2013-01-14,43.502498626708984,62.095027923583984,73.49451446533203,15.595674514770508,53.11583709716797,71.3604736328125,36.80133056640625,17.402908325195312,46.78728485107422,45.991004943847656,30.152956008911133,72.15106964111328,53.844303131103516,31.930015563964844,54.56266784667969,120.1234359741211,78.08515930175781,81.36720275878906,63.65637969970703,37.89291000366211,58.150447845458984,54.5290412902832,,141.24554443359375,33.755104064941406,22.5681095123291,23.16625213623047,28.67886734008789,56.15055465698242,16.417810440063477
2013-01-15,43.662498474121094,62.600406646728516,74.30223846435547,15.103631973266602,53.509090423583984,69.84988403320312,37.17832565307617,17.3079891204834,47.0152587890625,46.445556640625,29.71401023864746,72.13531494140625,53.94108581542969,32.14265060424805,54.758575439453125,119.64693450927734,78.25410461425781,81.79261016845703,63.98069763183594,37.84574508666992,57.99818420410156,54.12814712524414,,141.1575164794922,33.3890380859375,22.836671829223633,23.362241744995117,28.93471336364746,56.7096061706543,16.425640106201172
