Date,ZC=F,SI=F,LE=F,HO=F,RB=F,CC=F,ZS=F,GF=F,BZ=F,HG=F,HE=F,GC=F,KE=F,CT=F,NG=F,CL=F,KC=F,SB=F
2012-12-31,698.25,30.17300033569336,129.89999389648438,3.045099973678589,2.812000036239624,2236.0,1418.75,151.39999389648438,,3.6410000324249268,85.7249984741211,1674.800048828125,831.0,75.13999938964844,3.3510000705718994,91.81999969482422,143.8000030517578,19.510000228881836
2013-01-02,690.75,30.95199966430664,132.375,3.046299934387207,2.795099973678589,2259.0,1405.5,151.1999969482422,,3.7244999408721924,86.17500305175781,1687.9000244140625,811.0,75.36000061035156,3.2330000400543213,93.12000274658203,149.39999389648438,19.690000534057617
2013-01-03,689.25,30.67099952697754,133.85000610351562,3.025099992752075,2.7976999282836914,2256.0,1403.0,152.35000610351562,,3.7014999389648438,86.4000015258789,1673.699951171875,811.25,75.38999938964844,3.197999954223633,92.91999816894531,146.5,19.100000381469727
2013-01-04,680.25,29.895999908447266,132.9499969482422,3.017699956893921,2.7643001079559326,2220.0,1389.0,153.1750030517578,,3.678499937057495,86.2249984741211,1648.0999755859375,804.5,75.05000305175781,3.2869999408721924,93.08999633789062,147.35000610351562,18.850000381469727
2013-01-07,685.5,30.031999588012695,133.0,3.032099962234497,2.777400016784668,2267.0,1410.75,153.25,,3.6630001068115234,86.30000305175781,1645.5,807.5,75.70999908447266,3.2660000324249268,93.19000244140625,150.39999389648438,18.860000610351562
2013-01-08,688.75,30.415000915527344,132.5500030517578,3.058500051498413,2.7943999767303467,2215.0,1413.75,152.72500610351562,,3.6570000648498535,86.3499984741211,1661.5,808.75,75.12000274658203,3.2179999351501465,93.1500015258789,148.14999389648438,18.670000076293945
2013-01-09,694.25,30.201000213623047,131.5500030517578,3.0699000358581543,2.778899908065796,2223.0,1419.75,151.5,,3.6565001010894775,84.19999694824219,1654.800048828125,801.25,74.79000091552734,3.11299991607666,93.0999984741211,147.89999389648438,18.719999313354492
2013-01-10,698.75,30.875,131.5500030517578,3.05430006980896,2.793299913406372,2269.0,1417.5,150.85000610351562,,3.694499969482422,84.5999984741211,1677.300048828125,796.5,75.19999694824219,3.193000078201294,93.81999969482422,149.64999389648438,18.959999084472656
2013-01-11,708.75,30.367000579833984,130.60000610351562,3.008500099182129,2.739500045776367,2256.0,1424.75,149.875,,3.6394999027252197,84.19999694824219,1660.0,807.0,75.62000274658203,3.3269999027252197,93.55999755859375,153.35000610351562,19.170000076293945
2013-01-14,724.0,31.079999923706055,130.35000610351562,3.0625,2.7541000843048096,2267.0,1459.75,149.4499969482422,,3.619499921798706,85.2249984741211,1668.9000244140625,823.5,75.5199966430664,3.372999906539917,94.13999938964844,153.3000030517578,18.899999618530273
2013-01-15,730.5,31.49799919128418,130.4250030517578,3.0113000869750977,2.7065999507904053,2270.0,1413.5,148.3249969482422,,3.622999906539917,85.25,1683.4000244140625,838.25,76.20999908447266,3.4549999237060547,93.27999877929688,152.5,18.6200008392334
2013-01-16,731.25,31.513999938964844,128.52499389648438,2.9990999698638916,2.721400022506714,2256.0,1436.5,147.0749969482422,,3.5910000801086426,85.1500015258789,1682.699951171875,842.5,77.33000183105469,3.434999942779541,94.23999786376953,153.0,18.450000762939453
2013-01-17,724.5,31.785999298095703,126.5999984741211,3.021199941635132,2.768399953842163,2300.0,1430.25,144.39999389648438,,3.6470000743865967,85.94999694824219,1690.4000244140625,837.0,77.77999877929688,3.49399995803833,95.48999786376953,155.5,18.420000076293945
2013-01-18,727.5,31.902000427246094,124.94999694824219,3.052500009536743,2.796799898147583,2285.0,1429.25,143.89999389648438,,3.6635000705718994,85.3499984741211,1686.5999755859375,843.75,78.55000305175781,3.565999984741211,95.55999755859375,156.3000030517578,18.3700008392334
2013-01-22,728.5,32.14699935913086,125.7249984741211,3.06820011138916,2.829900026321411,2213.0,1451.75,144.39999389648438,,3.690999984741211,85.69999694824219,1692.800048828125,830.75,79.93000030517578,3.558000087738037,96.23999786376953,148.60000610351562,18.1200008392334
2013-01-23,720.75,32.409000396728516,125.7750015258789,3.0780999660491943,2.8338000774383545,2215.0,1437.0,144.1999969482422,,3.6710000038146973,85.9749984741211,1686.300048828125,830.25,80.4800033569336,3.553999900817871,95.2300033569336,150.39999389648438,18.5
2013-01-24,724.25,31.69499969482422,125.875,3.086400032043457,2.8629000186920166,2195.0,1435.25,144.60000610351562,,3.6644999980926514,87.05000305175781,1669.5,821.5,82.88999938964844,3.446000099182129,95.94999694824219,146.5500030517578,18.489999771118164
2013-01-25,720.75,31.18000030517578,126.30000305175781,3.05679988861084,2.8754000663757324,2173.0,1441.0,144.6999969482422,,3.6394999027252197,86.82499694824219,1656.4000244140625,829.5,80.5199966430664,3.444000005722046,95.87999725341797,148.3000030517578,18.3799991607666
2013-01-28,729.25,30.756000518798828,128.9499969482422,3.0615999698638916,2.934799909591675,2161.0,1447.75,145.8000030517578,,3.6489999294281006,87.17500305175781,1652.4000244140625,832.75,81.05000305175781,3.2890000343322754,96.44000244140625,149.0,18.729999542236328
2013-01-29,729.5,31.159000396728516,128.27499389648438,3.1092000007629395,2.973400115966797,2195.0,1451.75,145.8000030517578,,3.677500009536743,87.0999984741211,1660.699951171875,830.75,82.38999938964844,3.2260000705718994,97.56999969482422,149.8000030517578,18.3799991607666
2013-01-30,740.25,32.152000427246094,128.0,3.117300033569336,3.0387001037597656,2179.0,1478.75,145.8249969482422,,3.740000009536743,87.0999984741211,1679.9000244140625,840.75,82.95999908447266,3.3350000381469727,97.94000244140625,147.6999969482422,18.709999084472656
