Date,AMZN,LBTYK,BKNG,CMCSA,DXCM,ALGN,SNPS,FB,ISRG,SBUX,ADI,AMGN,SPLK,ULTA,QCOM,IDXX,ADP,CDW,TSLA,PAYX,FOX,MSFT,TXN,EA,MDLZ,AMAT,MNST,GILD,ATVI,BIDU,ANSS,ORLY,AAPL,ASML,ROST,TTWO,XLNX,XEL,CERN,ALXN,KLAC,ADBE,SGEN,PCAR,CPRT,PYPL,CTAS,MELI,EBAY,AMD,AVGO,KHC,CHKP,ILMN,ADSK,MXIM,DOCU,GOOGL,INTC,JD,CTXS,INCY,LULU,BMRN,INTU,LRCX,FISV,VRTX,WDAY,PEP,DLTR,MAR,SWKS,CHTR,EXPE,CSX,SIRI,CTSH,FOXA,GOOG,CSCO,NTES,ZM,REGN,MU,CDNS,MCHP,PDD,VRSN,NXPI,VRSK,FAST,TCOM,NFLX,COST,KDP,BIIB,LBTYA,WBA,MRNA,EXC,NVDA,TMUS
2012-12-31,250.8699951171875,29.375,620.3900146484375,16.172739028930664,13.59000015258789,27.75,31.84000015258789,26.6200008392334,163.4566650390625,23.403024673461914,34.59818649291992,70.76940155029297,29.020000457763672,98.26000213623047,48.39632034301758,46.400001525878906,41.55205535888672,,6.77400016784668,24.329425811767578,,22.417037963867188,24.91266441345215,14.500678062438965,21.89265251159668,9.93142318725586,17.613332748413086,30.914724349975586,9.934611320495605,100.29000091552734,67.33999633789062,89.41999816894531,16.54120445251465,59.2973747253418,25.147056579589844,11.010000228881836,30.120424270629883,20.427099227905273,38.15265655517578,93.73999786376953,30.99311065673828,37.68000030517578,23.170000076293945,33.99866485595703,14.75,,36.82157516479492,76.85685729980469,20.84557342529297,2.4000000953674316,25.601316452026367,,47.63999938964844,55.59000015258789,35.349998474121094,22.854204177856445,,354.0440368652344,16.31127166748047,,50.80680847167969,16.610000610351562,76.2300033569336,49.20000076293945,54.929019927978516,32.433448791503906,19.75749969482422,41.900001525878906,54.5,54.254722595214844,40.560001373291016,33.76070785522461,18.454288482666016,76.23999786376953,57.347450256347656,17.007600784301758,2.792613983154297,35.29098892211914,,352.3692321777344,15.384358406066895,7.254505157470703,,171.07000732421875,6.340000152587891,13.510000228881836,26.924348831176758,,38.81999969482422,25.52239418029785,50.29667663574219,18.895023345947266,11.329999923706055,13.227143287658691,82.27510070800781,5.858663558959961,146.3699951171875,32.17169189453125,30.269716262817383,,21.842063903808594,11.3447265625,16.165212631225586
2013-01-02,257.30999755859375,30.434999465942383,638.4000244140625,16.67489242553711,13.850000381469727,28.399999618530273,32.279998779296875,28.0,165.83999633789062,24.000858306884766,36.19401168823242,73.19129943847656,29.260000228881836,101.52999877929688,50.657318115234375,47.025001525878906,42.6176872253418,,7.072000026702881,24.916149139404297,,23.1807804107666,26.057897567749023,14.530637741088867,22.94211769104004,10.278674125671387,18.0766658782959,31.592365264892578,10.24331283569336,104.12000274658203,70.05000305175781,89.87000274658203,17.06525230407715,61.49835205078125,25.30978012084961,11.479999542236328,31.153554916381836,20.939498901367188,39.59980773925781,100.05000305175781,32.16768264770508,38.34000015258789,24.139999389648438,34.99884796142578,15.229999542236328,,37.80288314819336,80.5064697265625,21.90420150756836,2.5299999713897705,26.321224212646484,,49.2400016784668,55.41999816894531,36.939998626708984,23.856992721557617,,361.98699951171875,16.91246223449707,,52.781166076660156,17.0,74.0199966430664,51.91999816894531,57.21002960205078,34.767425537109375,20.31999969482422,43.650001525878906,52.90999984741211,54.96827697753906,39.900001525878906,35.1375846862793,19.681543350219727,78.0999984741211,59.03688430786133,17.386892318725586,2.918233633041382,36.370540618896484,,360.27459716796875,15.924571990966797,7.247683525085449,,181.1999969482422,6.630000114440918,14.0,27.88268280029297,,39.849998474121094,26.986637115478516,52.280128479003906,19.37297821044922,11.579999923706055,13.144286155700684,84.541748046875,6.04696798324585,150.0,33.285640716552734,31.128482818603516,,21.90081787109375,11.770380020141602,15.774906158447266
2013-01-03,258.4800109863281,30.604999542236328,648.72998046875,16.488750457763672,13.970000267028809,29.170000076293945,31.899999618530273,27.770000457763672,167.88999938964844,24.162321090698242,35.60997009277344,72.7315444946289,29.350000381469727,101.98999786376953,50.422603607177734,47.0,42.785552978515625,,6.953999996185303,24.955265045166016,,22.870243072509766,25.719167709350586,14.72038459777832,22.91631507873535,10.252633094787598,17.40333366394043,31.546064376831055,10.29944133758545,104.9800033569336,69.7699966430664,90.20999908447266,16.849853515625,60.20907974243164,27.32749366760254,11.880000114440918,31.094772338867188,20.87831687927246,39.48167419433594,98.4800033569336,31.888641357421875,37.75,24.469999313354492,34.84092330932617,15.119999885559082,,37.97392654418945,80.95655822753906,21.438241958618164,2.490000009536743,26.45873260498047,,47.18000030517578,55.54999923706055,36.369998931884766,23.6004638671875,,362.19720458984375,16.865005493164062,,51.0003776550293,17.100000381469727,75.08999633789062,52.16999816894531,57.01607894897461,34.09416580200195,20.167499542236328,45.150001525878906,52.29999923706055,54.99208450317383,39.47999954223633,35.41839599609375,19.53609275817871,77.9800033569336,58.64486312866211,17.55067253112793,2.9762120246887207,35.997947692871094,,360.48382568359375,16.010692596435547,7.298854351043701,,180.7100067138672,6.900000095367432,13.630000114440918,27.593528747558594,,40.029998779296875,26.850881576538086,52.882076263427734,19.43372917175293,11.675000190734863,13.798571586608887,85.4084243774414,6.023098945617676,147.86000061035156,33.36739730834961,30.907665252685547,,22.07707977294922,11.779633522033691,15.661067008972168
2013-01-04,259.1499938964844,30.764999389648438,648.4099731445312,16.48008918762207,14.170000076293945,29.309999465942383,31.649999618530273,28.760000228881836,166.75999450683594,24.301959991455078,34.9765739440918,73.05175018310547,29.68000030517578,97.8499984741211,49.67937469482422,47.439998626708984,43.16508865356445,,6.880000114440918,25.166481018066406,,22.442218780517578,25.662710189819336,14.860198974609375,23.002330780029297,10.252633094787598,17.296667098999023,31.870153427124023,10.449115753173828,104.6500015258789,70.5,91.6500015258789,16.380502700805664,59.592071533203125,26.94161605834961,12.199999809265137,30.65799903869629,20.954797744750977,39.90499496459961,97.62000274658203,31.784805297851562,38.130001068115234,24.969999313354492,35.19437789916992,15.239999771118164,,38.34304428100586,81.00548553466797,21.573123931884766,2.5899999141693115,26.28887367248535,,46.84000015258789,54.7599983215332,36.36000061035156,23.16515350341797,,369.3543395996094,16.73843002319336,,51.52687072753906,17.280000686645508,71.94999694824219,52.540000915527344,57.459354400634766,34.17495346069336,20.174999237060547,45.849998474121094,52.189998626708984,55.07136154174805,39.619998931884766,35.53615188598633,19.04519271850586,77.5999984741211,60.16627883911133,18.05063819885254,2.995537519454956,35.911964416503906,,367.60711669921875,16.0341796875,7.40290641784668,,181.07000732421875,6.960000038146973,13.430000305175781,27.436561584472656,,40.040000915527344,26.511486053466797,52.79325866699219,19.45802879333496,11.795000076293945,13.71142864227295,85.13343048095703,6.057577133178711,145.92999267578125,33.45426559448242,30.40874481201172,,22.231313705444336,12.168277740478516,15.823694229125977
2013-01-07,268.4599914550781,30.690000534057617,657.3800048828125,16.406505584716797,14.399999618530273,28.940000534057617,31.420000076293945,29.420000076293945,167.3333282470703,24.315061569213867,35.08352279663086,72.68228149414062,29.360000610351562,96.31999969482422,50.078369140625,47.720001220703125,42.997222900390625,,6.868000030517578,25.049135208129883,,22.40025520324707,25.743366241455078,14.430770874023438,22.933515548706055,10.131093978881836,16.68666648864746,32.35840606689453,10.45846939086914,102.29000091552734,70.48999786376953,90.05000305175781,16.28414535522461,58.62511444091797,26.764951705932617,12.15999984741211,30.531997680664062,20.733016967773438,40.864837646484375,97.30999755859375,31.55768394470215,37.939998626708984,26.18000030517578,34.810848236083984,15.414999961853027,,38.26202392578125,80.83916473388672,21.871501922607422,2.6700000762939453,26.14327049255371,,47.20000076293945,50.900001525878906,36.09000015258789,23.273975372314453,,367.74273681640625,16.809633255004883,,52.7734260559082,17.889999389648438,71.0999984741211,52.13999938964844,57.52400207519531,33.72610855102539,20.302499771118164,47.290000915527344,52.16999816894531,55.06343460083008,39.959999084472656,35.33686065673828,19.327007293701172,77.4000015258789,60.11961364746094,17.636865615844727,2.9762120246887207,36.06960678100586,,366.0031433105469,15.885424613952637,7.338088512420654,,182.52999877929688,7.179999828338623,13.40999984741211,27.403512954711914,,40.060001373291016,26.317546844482422,52.55643081665039,19.368921279907227,11.850000381469727,14.171428680419922,84.47509765625,5.999228477478027,146.4199981689453,33.37250900268555,31.103940963745117,,21.937541961669922,11.816648483276367,15.54722785949707
2013-01-08,266.3800048828125,30.649999618530273,657.4199829101562,16.51905632019043,14.479999542236328,28.25,31.459999084472656,29.059999465942383,168.14332580566406,24.27141761779785,34.7215690612793,72.37030792236328,28.8799991607666,95.08999633789062,50.00012969970703,48.005001068115234,43.24537658691406,,6.736000061035156,24.994375228881836,,22.282752990722656,25.444957733154297,13.751676559448242,22.950721740722656,9.992193222045898,16.90999984741211,32.577266693115234,10.280732154846191,101.08999633789062,71.08000183105469,89.19999694824219,16.327978134155273,58.146240234375,26.4162654876709,11.779999732971191,29.91044044494629,20.771249771118164,40.32830810546875,97.48999786376953,30.740020751953125,38.13999938964844,26.510000228881836,34.51004409790039,15.220000267028809,,38.37005615234375,81.63167572021484,21.532249450683594,2.6700000762939453,25.965314865112305,,48.220001220703125,52.38999938964844,36.29999923706055,23.00189781188965,,367.01702880859375,16.68306541442871,,53.005706787109375,18.799999237060547,71.62999725341797,51.84000015258789,57.06099319458008,33.19647216796875,20.399999618530273,48.5,51.869998931884766,55.22993087768555,39.0099983215332,35.23722457885742,18.554290771484375,77.19999694824219,60.43696212768555,17.679975509643555,3.0341904163360596,35.5871467590332,,365.28082275390625,15.901084899902344,7.249390125274658,,176.6300048828125,7.230000019073486,13.680000305175781,26.916086196899414,,39.88999938964844,25.745424270629883,53.18798065185547,19.263607025146484,11.680000305175781,13.880000114440918,84.31678771972656,6.017793655395508,144.38999938964844,33.44915771484375,31.218442916870117,,21.7465877532959,11.557552337646484,15.17318344116211
2013-01-09,266.3500061035156,31.104999542236328,651.5900268554688,16.631595611572266,14.600000381469727,27.299999237060547,31.43000030517578,30.59000015258789,168.91000366210938,23.839401245117188,34.63109588623047,72.7972412109375,29.739999771118164,94.22000122070312,50.759010314941406,48.56999969482422,43.13589859008789,,6.728000164031982,25.002201080322266,,22.408647537231445,25.807884216308594,13.681768417358398,23.268999099731445,10.139776229858398,16.77666664123535,32.77509307861328,10.233959197998047,104.33999633789062,72.12999725341797,88.38999938964844,16.072786331176758,58.47776794433594,26.45345687866211,11.920000076293945,30.1456241607666,20.80184555053711,40.01820755004883,100.30999755859375,31.04503059387207,38.65999984741211,27.15999984741211,34.31451416015625,15.430000305175781,,38.46009063720703,84.63552856445312,21.56494903564453,2.630000114440918,26.539628982543945,,48.88999938964844,52.529998779296875,36.66999816894531,23.211788177490234,,369.429443359375,16.96784019470215,,54.77874755859375,19.309999465942383,71.04000091552734,51.93000030517578,57.5610466003418,33.47475814819336,20.709999084472656,48.25,52.75,55.507442474365234,38.18000030517578,35.23722457885742,19.099733352661133,78.5999984741211,59.44757843017578,17.705833435058594,3.014863967895508,35.544151306152344,,367.68182373046875,15.893255233764648,7.234038352966309,,183.39999389648438,7.309999942779541,13.779999732971191,27.213497161865234,,39.560001373291016,26.094514846801758,53.23732376098633,19.259557723999023,11.78499984741211,13.701428413391113,84.35841369628906,6.060227394104004,144.0800018310547,33.70465087890625,31.44745445251465,,21.474842071533203,11.298455238342285,15.270760536193848
2013-01-10,265.3399963378906,31.325000762939453,653.6199951171875,16.66623306274414,14.930000305175781,26.889999389648438,31.469999313354492,31.299999237060547,169.6233367919922,23.800127029418945,35.05060577392578,72.09117889404297,29.770000457763672,94.31999969482422,50.68076705932617,48.630001068115234,43.29647445678711,,6.705999851226807,24.916149139404297,,22.20722198486328,26.154674530029297,13.981369972229004,23.492658615112305,10.105051040649414,16.253334045410156,32.80455017089844,10.224605560302734,110.56999969482422,72.26000213623047,87.73999786376953,16.272029876708984,59.55522918701172,26.639423370361328,11.979999542236328,30.238014221191406,20.80184555053711,40.46613311767578,102.56999969482422,31.531726837158203,38.619998931884766,27.18000030517578,34.600284576416016,15.520000457763672,,38.433074951171875,84.4300308227539,21.663043975830078,2.619999885559082,27.113937377929688,,49.290000915527344,53.63999938964844,36.52000045776367,23.040771484375,,371.1111145019531,17.244699478149414,,54.5697021484375,18.959999084472656,70.58000183105469,51.790000915527344,57.79256057739258,33.97746658325195,20.799999237060547,46.79999923706055,53.20000076293945,56.14169692993164,38.13999938964844,35.34592819213867,19.381546020507812,79.0,58.58885955810547,17.705833435058594,3.024526834487915,35.84987258911133,,369.3555603027344,16.002864837646484,7.546186923980713,,183.77000427246094,7.420000076293945,13.84000015258789,27.717451095581055,,38.869998931884766,27.452089309692383,53.15837478637695,18.834272384643555,11.970000267028809,14.0,83.95011138916016,6.0681843757629395,143.91000366210938,34.021461486816406,31.54560661315918,,21.489530563354492,11.316961288452148,15.823694229125977
2013-01-11,267.94000244140625,31.815000534057617,655.489990234375,16.648916244506836,14.819999694824219,25.8700008392334,31.809999465942383,31.719999313354492,168.6666717529297,24.005226135253906,34.76270294189453,71.39335632324219,32.27000045776367,93.38999938964844,50.77466583251953,48.54999923706055,43.36945343017578,,6.581999778747559,24.861385345458984,,22.51775360107422,26.146610260009766,14.221050262451172,23.587284088134766,10.16582202911377,16.97333335876465,32.863468170166016,10.77652645111084,112.97000122070312,72.83000183105469,88.01000213623047,16.172252655029297,60.245914459228516,26.300039291381836,12.3100004196167,30.070024490356445,20.778902053833008,40.17572021484375,100.38999938964844,31.921083450317383,38.09000015258789,26.8700008392334,34.615318298339844,15.835000038146973,,38.334041595458984,84.69419860839844,21.94916534423828,2.6700000762939453,27.7772274017334,,48.459999084472656,52.68000030517578,36.79999923706055,23.0174503326416,,370.3653564453125,17.402908325195312,,55.33621597290039,18.200000762939453,70.83999633789062,51.560001373291016,57.98701095581055,34.507102966308594,20.7450008392334,47.310001373291016,52.790000915527344,56.19721984863281,38.119998931884766,35.21910858154297,19.427000045776367,78.38999938964844,58.439510345458984,17.705833435058594,3.053516387939453,37.48353958129883,,368.61334228515625,16.0341796875,7.781790256500244,,179.4600067138672,7.539999961853027,13.9399995803833,27.750497817993164,,38.0,27.1514835357666,53.18798065185547,18.834272384643555,12.140000343322754,14.470000267028809,83.56675720214844,5.978012561798096,143.7899932861328,34.49156951904297,31.979080200195312,,21.511566162109375,11.298455238342285,15.514701843261719
2013-01-14,272.7300109863281,31.385000228881836,662.9199829101562,16.848041534423828,14.640000343322754,26.639999389648438,32.5099983215332,30.950000762939453,170.9066619873047,23.85685920715332,34.74624252319336,71.3604736328125,31.299999237060547,94.98999786376953,50.2583122253418,47.97999954223633,43.362152099609375,,6.6519999504089355,25.244712829589844,,22.5681095123291,26.082090377807617,14.410798072814941,23.638893127441406,10.200542449951172,16.9233341217041,32.73298263549805,10.757817268371582,112.63999938964844,72.95999908447266,88.55000305175781,15.595674514770508,59.30658721923828,26.15126609802246,12.199999809265137,30.1036319732666,20.710067749023438,40.441524505615234,99.3499984741211,31.745882034301758,38.15999984741211,27.639999389648438,34.73563766479492,15.9399995803833,,38.03695297241211,85.0855941772461,21.736618041992188,2.640000104904175,27.963275909423828,,48.150001525878906,52.619998931884766,36.83000183105469,22.659866333007812,,361.98699951171875,17.402908325195312,,54.74777603149414,19.219999313354492,72.30000305175781,52.97999954223633,58.042572021484375,34.309608459472656,20.725000381469727,47.34000015258789,51.2599983215332,56.52228546142578,38.040000915527344,35.08323287963867,19.099733352661133,78.18000030517578,58.6915283203125,17.800655364990234,3.043853282928467,37.47398376464844,,360.27459716796875,16.417810440063477,7.718961715698242,,179.39999389648438,7.599999904632568,14.020000457763672,27.353944778442383,,38.380001068115234,27.51027488708496,53.70110321044922,18.822124481201172,12.145000457763672,14.778571128845215,83.64178466796875,5.992598056793213,143.8800048828125,34.11854934692383,31.930015563964844,,21.607040405273438,11.289202690124512,15.465913772583008
